CODE,LABEL,ADDRESS,SUB_PREFECTURE_CODE
ABGR01,ABENGOUROU 01,A L'ANTENNE DE LA FONCTION PUBLIQUE,ABENGOUROU
ABGR02,ABENGOUROU 02,MUGEFCI,ABENGOUROU
ABSO01,ABOISSO 01,A LA MUGEFCI  AU CENTRE VILLE,ABOISSO
ABSO02,ABOISSO 02,AU SEIN DES GRANDS ENDEMIES,ABOISSO
ADZP01,ADZOPE 01,A LA MUGEFCI ,ADZOPE
ADZP02,ADZOPE 02,AUX GRANDS ENDEMIES,ADZOPE
AGBO01,AGBOVILLE 01,LA MUGEFCI,AGBOVILLE
AGBO02,AGBOVILLE 02,DIRECTION DES AFFAIRES SOCIALES,AGBOVILLE
BOFL01,BOUAFLE 01,"MUGEFCI, BATIMENT IVOGRAIN",BOUAFLE
BOFL02,BOUAFLE 02,A LA PREFECTURE,BOUAFLE
BOKE01,BOUAKE 01,AUBERGE DE LA JEUNESSE,BOUAKE
BOKE02,BOUAKE 02,CENTRE CULTUREL JACQUES AKA,BOUAKE
BOKE03,BOUAKE 03,BUREAU MUGEFCI BOUAKE,BOUAKE
BOND01,BONDOUKOU 01, DIRECTION REGIONALE DE L'AGRICULTURE,BONDOUKOU
BOND02,BONDOUKOU 02,MUGEFCI QUARTIER LYCEE,BONDOUKOU
BONG01,BONGOUANOU 01,CENTRE D'ECOUTE ET DE CONSEIL,BONGOUANOU
BONO01,BONOUA 01,A LA SOUS-PREFECTURE,BONOUA
BOUN01,BOUNDIALI 01,CENTRE DES GRANDES ENDEMIES,BOUNDIALI
COCD01,COCODY 01,CBCG,COCODY
DABO01,DABOU 01,PREFECTURE DE DABOU,DABOU
DABO02,DABOU 02,MAIRIE AU CENTRE-VILLE,DABOU
DAKR01,DAOUKRO 01,ANCIENNE DIRECTION CI TELECOM ,DAOUKRO
DAKR02,DAOUKRO 02,BUREAU DE LA MUGEFCI,DAOUKRO
DALO01,DALOA 01,QUARTIER COMMERCE,DALOA
DALO02,DALOA 02,BUREAU DE LA MUGEFCI,DALOA
DIMB01,DIMBOKRO 01,A LA PREFECTURE DE REGION,DIMBOKRO
DIMB02,DIMBOKRO 02,MUGEFCI A COTE DE LA GRANDE BOULANGERIE,DIMBOKRO
DIVO01,DIVO 01,AU SEIN DE LA PREFECTURE QUARTIER BADA,DIVO
DIVO02,DIVO 02,BUREAU MUGEFCI QUARTIER DIALOGUE 1,DIVO
FERK01,FERKESSEDOUGOU 01,AU SEIN DE LA PREFECTURE,FERKESSEDOUGOU
GAGN01,GAGNOA 01,HALL D'INFORMATION,GAGNOA
GAGN02,GAGNOA 02,BUREAU MUGEFCI,GAGNOA
KATI01,KATIOLA 01,DANS L'ENCEINTE DE LA SOUS-PREFECTURE,KATIOLA
KORG01,KORHOGO 01,AU SEIN DU DISTRICT SANITAIRE,KORHOGO
KOUM01,KOUMASSI 01,CENTRE DES METIERS,KOUMASSI
MAN01,MAN 01,ANCIEN FONCTION PUBLIQUE,MAN
MAN02,MAN 02,BUREAU DE LA MUGEFCI,MAN
MARC01,MARCORY 01,CETI  EN ZONE 4 FACE A LA BASE ONUCI,MARCORY
ODIE01,ODIENNE O1, EN FACE DU PALAIS DE JUSTICE,ODIENNE
PLAT02,PLATEAU 02,ANCIEN SIEGE DE LA CNPS,PLATEAU
PLAT03,PLATEAU 03,IMMEUBLE EQUATEUR,PLATEAU
PRBT01,PORT-BOUET 01,CEP EN FACE DU PHARE,PORT-BOUET
SANP01,SAN PEDRO 01,BUREAU MUGEFCI - QUARTIER CITE,SAN PEDRO
SANP02,SAN PEDRO 02,CENTRE VILLE (ZONE INDUSTRIELLE),SAN PEDRO
