CODE,LABEL
CNP048255,SCIIP
CNP119985,COQUILLAGES COMMUNICATION
CNP119986,CLINIQUE MEDICALE STES MYRIADES
CNP120000,SOCIETE CIVILE IMMOBILIERE SION
CNP000008,EECI
CNP000019,MANUTENTION AFRICAINE COTE D'IVOIRE
CNP000021,CROWN SIEM
CNP000022,CARENA
CNP000036,TOTAL COTE D'IVOIRE SA
CNP000065,STIB
CNP000067,BOUYGUES E&S COTE D'IVOIRE
CNP000082,SETAO
CNP000091,ROUTIERE COLAS
CNP000095,LOUIS DREYFUS COMMODITIES COTE D'IVOIRE
CNP000113,RAOUL DAUBRY
CNP000124,COMPAGNIE DES SCIERIES AFRICAINES
CNP000132,AGENCE FRANCE PRESSE
CNP000145,SAMELA
CNP000151,ETS LOUIS FELTRIN
CNP000180,IVOSEP
CNP000183,INSTITUT NOTRE DAME DE LA PAIX
CNP000189,LES ABEILLES COTE D'IVOIRE
CNP000191,AIR FRANCE
CNP000199,BOLLORE AFRICA LOGISTICS CÔTE D'IVOIRE
CNP000209,EBURNEA SA
CNP000251,CORLAY COTE D'IVOIRE S.A
CNP000252,VIVO ENERGY CI
CNP000255,LIBYA-OIL COTE D'IVOIRE
CNP000262,SOCOFRACIM
CNP000263,LABOREX COTE D'IVOIRE
CNP000264,GOMP CI
CNP000282,CACOMIAF
CNP000285,A.R.C.I
CNP000301,BATA STE ANONYME
CNP000309,FONDATION F.MASSIEYE
CNP000341,CFAO MOTORS COTE D'IVOIRE
CNP000358,DAFCI
CNP000399,PROCURE DES MISSIONS CATHOLIQUES
CNP000405,BERNABE COTE D'IVOIRE
CNP000412,FFA CONSEIL
CNP000415,SICOGI
CNP000422,BANQUE CENTRALE DE L'AFRIQUE DE L'OUEST
CNP000423,SOCIETE GENERALE DE BANQUES EN COTE D'IVOIRE
CNP000425,SOCIETE IVOIRIENNE DE BANQUE
CNP000426,BICICI
CNP000427,BANQUE INTERNATIONALE POUR L'AFRIQUE DE L'OUEST
CNP000429,ALLIANZ COTE D'IVOIRE ASSURANCES
CNP000435,CEMCI
CNP000439,AGENCE FRANCAISE DE DEVELOPPEMENT
CNP000446,PRESSINGS REUNIS
CNP000450,DR CHENAL HENRI MARIE ALBERT
CNP000455,GRANDE PHARMACIE DU COMMERCE-PLATEAU
CNP000461,PHARMACIE MODERNE MAZUET
CNP000470,MAIRIE DE BOUAKE
CNP000471,DISTRICT D'ABIDJAN
CNP000473,MOHAMED LAMINE FAYE
CNP000482,SGS CI
CNP000497,SEMPA BUREAU DE PAIE
CNP000499,GROUPEMENT IVOIRIEN DU BATIMENT & DES TRVX PUBLICS
CNP000500,CAISSE NATIONALE DE PREVOYANCE SOCIALE
CNP000508,ASCOMA COTE D'IVOIRE
CNP000510,CENTRE SUISSE DE RECHERCHES SCIENTIFIQUES EN CI
CNP000526,ATELIERS LONGUET
CNP000533,BUREAU VERITAS
CNP000540,INTER CONTINENTAL BUSINESS MACHINES
CNP000544,SOCIETE IVOIRIENNE DES TABACS
CNP000546,DIRECTION ENSEIGT P
CNP000551,CH RICHARD ET CIE
CNP000555,SOCIETE DE LIMONADERIES ET BRASSERIES D'AFRIQUE
CNP000558,CNRA ( ADIOPO-DOUME) SIEGE
CNP000563,CENTRAL OPTIQUE
CNP000564,OPTIQUE MEDICALE
CNP000565,SCIERIE PARQUETERIE DU NZI
CNP000570,PORT AUTONOME D'ABIDJAN
CNP000586,DIRECTION DIOCESAINE
CNP000643,LIBRAIRIE DE FRANCE GROUPE
CNP000645,CEGEX
CNP000646,MAIRIE ABENGOUROU
CNP000666,MAIRIE DE GAGNOA
CNP000681,FORCE INTERARMEES LICORNE
CNP000683,CENTRALE D'ACHAT DE SAIGNEE D'HEVEA EN CI
CNP000704,NOUVELLE PHARMACIE PRINCIPALE GAGNOA
CNP000719,PHARMACIE DU NORD
CNP000726,J PARGADE ET CIE
CNP000750,AGEPE
CNP000759,MISSION CATHOLIQUE STE THERESE DE TANDA
CNP000770,ENSEIGNEMENT CATHOLIQUE BOUAKE
CNP000772,ENSEIGNEMENT CATHOLIQUE DALOA
CNP000773,ENSEIGNEMENT CATHOLIQUE KATIOLA
CNP000794,MAIRIE DE MAN
CNP000796,ENSEIGNEMENT CATHOL DE GAGNOA
CNP000810,ALLIANCE BIBLIQUE C.I
CNP000852,MAIRIE AGBOVILLE
CNP000853,AMBASSADE DE BURKINA
CNP000910,SCIA NO 9 (SOCIETE CIVILE IMMOBILIERE AFRICAINE)
CNP000925,PHARMACIE STE THERES
CNP001071,SOGEA - SATOM CI
CNP001095,EGLISE ADVENT 7 JOUR
CNP001097,SEMINAIRE ST AUGUSTIN BINGERVI
CNP001101,DR SENIN DON MELLO(PHARMACIE DU MARCHE)
CNP001172,FADEL RAGY NICOLAS
CNP001234,PHARMACIE MODERNE DE MAN - S.A.R.L.U
CNP001258,HOPITAL MISSION BAPT FERKE
CNP001259,MISSION BAPTISTE DE FERKE
CNP001305,SOCIETE COTIVOIRIENNE D' EQUIPEMENT
CNP001357,SAFCA
CNP001394,PHARMACIE DES LAGUNES
CNP001421,GRAND HOTEL ABIDJAN
CNP001430,GROUPEMENT FONCIER DE COTE D'IVOIRE
CNP001439,PHARMACIE ROY FOFANA
CNP001488,LASSIRE SA
CNP001534,MAIRIE DE DALOA
CNP001552,SEPBA
CNP001578,EGLISE METHODISTE UNIE COTE D'IVOIRE
CNP001605,SANS PAREIL
CNP001607,FED. NAT. DES INDUSTRIES ET SERVICES DE CI
CNP001613,MANUFACTURE IVOIRIENNE D'ISOLANTS SYNTHETIQUES
CNP001618,ASSEMBLEES DE DIEU
CNP001644,LES CENTAURES ROUTIERS
CNP001664,FRACASSI
CNP001808,CABINET DOGUE ET ABBE YAO
CNP001905,FRANCE OPTIQUE
CNP001951,COURS PIGIER
CNP001980,SEMPA DISPENSAIRE
CNP002020,CIE IVOIR TOUS APPAREIL MECANI
CNP002025,PHARMACIE FRANCE AFRIQUE
CNP002063,AMBASSADE DE BELGIQUE
CNP002067,COMPTOIR AFRICAIN DE MATERIELS ABIDJAN
CNP002115,BULL COTE D'IVOIRE
CNP002118,NESTLE COTE D IVOIRE
CNP002344,DLH COTE D'IVOIRE S.A.
CNP002426,HOTEL LEVENEUR
CNP002432,AMBASSADE REP.FEDERALE D'ALLEMAGNE
CNP002450,MANUFACTURE IVOIRIENNE DES PLASTIQUES AFRICAINS
CNP002459,SOCIETE DES TRANSPORTS ABIDJANAIS
CNP002481,UNION DES ENTREPRISES AGRICOLES ET FORESTIERES
CNP002528,POLYCHIMIE
CNP002561,TRANSIT DIOT
CNP002573,CIDT
CNP002583,AMBASSADE DE SUISSE
CNP002584,SOEURS MIS N D APOTR
CNP002591,SOCIDA
CNP002595,COLLEGE VICTOR HUGO
CNP002598,BANQUE NATIONALE D'INVESTISSEMENT
CNP002614,PHARMACIE ST AMANS
CNP002624,ASNA
CNP002647,SOCIETE ABIDJANAISE DE TORREFACTION
CNP002652,AMBASSADE DE FRANCE
CNP002726,DISPENSAIRE MISSION BAPTISTE
CNP002748,ASECNA
CNP002760,AMBASSADE DE LA GRANDE BRETAGNE
CNP002763,SERTACI
CNP002795,AMBASSADE D' ISRAEL
CNP002849,PHARMACIE DU PROGRES
CNP002854,CABINET GERENTHON
CNP002858,SAFAR
CNP002875,EL REDA
CNP002881,AIR LIQUIDE COTE D'IVOIRE
CNP002958,MISSION CATHOLIQUE DE TABOU
CNP002984,SIFF
CNP002992,COMPAGNIE IVOIRIENNE D'ARMEMENT A LA PECHE
CNP003031,COUR SUPREME
CNP003060,MINISTERE DE LA FONCTION PUBLIQUE
CNP003080,MINISTERE DE L' AGRICULTURE
CNP003130,MINISTERE DES AFFAIRES ETRANGERES
CNP003214,HOPITAL ALEPE
CNP003215,HOPITAL DE DABOU
CNP003216,HOPITAL DE DIVO
CNP003218,HOPITAL D'AGBOVILLE
CNP003220,HOPITAL DE GRD LAHOU
CNP003221,HOPITAL LAKOTA
CNP003222,HOPITAL DE SASSANDRA
CNP003223,HOPITAL DE TABOU
CNP003238,HOPITAL DE SINFRA
CNP003239,HOPITAL DE TIEBISSOU
CNP003240,HOPITAL DE TOUMODI
CNP003246,CENTRE HOSPITALIER REG.ODNE
CNP003249,CENTRE HOSPITALIER REGIONAL DE GAGNOA
CNP003350,COCITRA
CNP003367,ALOUETTES ADJAME
CNP003423,PIOT VLINDET ALINE(HOTEL TAM TAM)
CNP003430,DAOUDA SALAHOU
CNP003451,PHARMACIE SAINTE RUTH
CNP003461,ASSO. DES SOCIETES D'ASSURANCES DE COTE D'IVOIRE
CNP003481,SODEFOR
CNP003482,MISSION CATHOLIQUE DUEKOUE
CNP003492,CHEICKNA SYLLA
CNP003535,SOGIP SHIPPING
CNP003538,PARTI DEMOCRATIQUE DE COTE D'IVOIRE
CNP003541,STE PR LE DVPT MINIER DE LA COTE D'IVOIRE
CNP035421,SIFF GARAGE
CNP003559,STBO
CNP003603,MISSION BAPTISTE DE KORHOGO
CNP003664,CENTRE MEDICAL N'CHO MOTTOH
CNP003668,AERO CLUB ABIDJAN
CNP003673,CENTRE D'EDITION ET DE DIFFUSION AFRICAINES
CNP003708,INSTITUT FRANÇAIS DE COTE D'IVOIRE
CNP003712,MONASTERE BENEDICTIN STE MARIE
CNP003714,NOUVELLE SACAR
CNP003726,SOCIETE IVOIRIENNE DE RAFFINAGE
CNP003767,PRECIS GRAVURE
CNP003774,HOTEL GRAU
CNP003822,EDIPRESSE
CNP003823,ACADEMIE REG. DES SCIENCES ET TECHNIQUES DE LA MER
CNP003885,MONASTERE DE LA BONNE NOUVELLE
CNP003886,HAMADE YOUSSEF
CNP003890,COUP DE FREIN
CNP003901,SOEURS NOTRE DAME DES APOTRES
CNP003919,LES GRANDS MOULINS D'ABIDJAN
CNP003945,RIZKALLAH MICHEL
CNP004002,PHARMACIE NOTRE DAME
CNP004017,SOFITEL ABIDJAN HOTEL IVOIRE
CNP004034,PAIERIE DE FRANCE
CNP004136,SOCIETE D'ETUDES ET ENTREPRISE D'EQUIPEMENTS
CNP004147,EXTERNAT ST PAUL
CNP004174,BOULANGERIE PIAGGI
CNP004182,COMPAGNIE INDUSTRIELLE DU BOIS
CNP004260,SOCIETE NATIONALE IVOIRIENNE DE TRAVAUX
CNP004287,BRUN ALAIN
CNP004296,HOPITAL METHODISTE DE DABOU
CNP004303,SAPRIM
CNP004311,AMBASSADE DU GHANA
CNP004332,ALI AMER
CNP004335,AMBASSADE DU MALI
CNP004336,AMB ROYALE DU MAROC
CNP004377,SOCIETE AFRICAINE DE CACAO
CNP004405,ASSEMBLEE DE DIEU C
CNP004455,SOCIETE DE DIFFUSION ET DE REPRESENTATION
CNP004456,FEDERMANN ENTREPRISE
CNP004458,AMBASSADE D'ALGERIE
CNP004465,SOGEFIHA
CNP004535,STE NLLE DE PRESSE ET D'EDITION DE CI
CNP004627,SIFCA
CNP004657,BOULANGERIE DIARRASSOUBA
