CODE,LABEL,ORDINAL
CIV,IVOIRIENNE,1
BFA,BURKINABE,2
BEN,BENINOISE,3
MLI,MALIENNE,4
GHA,GHANEENNE,5
SEN,SENEGALAISE,5
GIN,GUINEENNE,6
NER,NIGERIENNE,6
TGO,TOGOLAISE,6
MRT,MAURITANIENNE,7
NGA,NIGERIANNE,8
GMB,GAMBIENNE,9
LBR,LIBERIENNE,10
CMR,CAMEROUNAISE,11
COG,CONGOLAISE DE BRAZZAVILLE,11
COD,CONGOLAISE DE KINSHASA,11
GAB,GABONAISE,11
SLE,SIERRA-LEONAISE,11
GNQ,EQUATO-GUINEENNE,12
GNB,BISSAU-GUINEENNE,12
CAF,CENTRAFRICAINE,14
AFG,AFGHANE,20
ZAF,SUD-AFRICAINE,20
ALA,AALANDAISE,20
ALB,ALBANAISE,20
DZA,ALGERIENNE,20
DEU,ALLEMANDE,20
AND,ANDORRANE,20
AGO,ANGOLAISE,20
AIA,ANGUILLANE,20
ATA,DE L'ANTARCTIQUE,20
ATG,ANTIGUAISE,20
SAU,SAOUDIENNE,20
ARG,ARGENTINE,20
ARM,ARMENIENNE,20
ABW,ARUBEENNE,20
AUS,AUSTRALIENNE,20
AUT,AUTRICHIENNE,20
AZE,AZERBAIDJANAISE,20
BHS,BAHAMEENNE,20
BHR,BAHREINITE,20
BGD,BANGLADESHIE,20
BRB,BARBADIENNE,20
BLR,BIELORUSSE,20
BEL,BELGE,20
BLZ,BELIZIENNE,20
BMU,BERMUDIENNE,20
BTN,BHOUTANAISE,20
BOL,BOLIVIENNE,20
BES,"DE BONAIRE, ST-EUSTACHE, SABA",20
BIH,BOSNIENNE,20
BWA,BOTSWANAISE,20
BVT,DE L'ILE BOUVET,20
BRA,BRESILIENNE,20
BRN,BRUNEIENNE,20
BGR,BULGARE,20
BDI,BURUNDAISE,20
CYM,CAIMANAISE,20
KHM,CAMBODGIENNE,20
CAN,CANADIENNE,20
CPV,CAP-VERDIENNE,20
CHL,CHILIENNE,20
CHN,CHINOISE,20
CXR,DE L'ILE CHRISTMAS,20
CYP,CHYPRIOTE,20
CCK,DES ILES COCOS,20
COL,COLOMBIENNE,20
COM,COMORIENNE,20
COK,DES ILES COOK,20
KOR,SUD-COREENNE,20
PRK,NORD-COREENNE,20
CRI,COSTARICIENNE,20
HRV,CROATE,20
CUB,CUBAINE,20
CUW,DE CURACAO,20
DNK,DANOISE,20
DJI,DJIBOUTIENNE,20
DOM,DOMINICAINE,20
DMA,DOMINIQUAISE,20
EGY,EGYPTIENNE,20
SLV,SALVADORIENNE,20
ARE,EMIRIENNE,20
ECU,EQUATORIENNE,20
ERI,ERYTHREENNE,20
ESP,ESPAGNOLE,20
EST,ESTONIENNE,20
USA,AMERICAINE,20
ETH,ETHIOPIENNE,20
FLK,DES ILES FALKLAND,20
FRO,FEROIENNE,20
FJI,FIDJIENNE,20
FIN,FINLANDAISE,20
FRA,FRANCAISE,20
GEO,GEORGIENNE,20
SGS,"DE GÉORGIE, ÎLES SANDWICH SUD",20
GIB,GIBRALTARIENNE,20
GRC,GRECQUE,20
GRD,GRENADINE,20
GRL,GROENLANDAISE,20
GLP,GUADELOUPEENNE,20
GUM,GUAMIENNE,20
GTM,GUATEMALTEQUE,20
GGY,GUERNESIAISE,20
GUY,GUYANIENNE,20
GUF,GUYANAISE,20
HTI,HAITIENNE,20
HMD,DES ILES HEARD ET MACDONALD,20
HND,HONDURIENNE,20
HKG,HONGKONGAISE,20
HUN,HONGROISE,20
IMN,DE L'ILE DE MAN,20
UMI,DES ILES MINEURES ELOIGNEES,20
VGB,DES ILES VIERGES BRITANNIQUES,20
VIR,DES ILES VIERGES AMERICAINES,20
IND,INDIENNE,20
IDN,INDONESIENNE,20
IRN,IRANIENNE,20
IRQ,IRAQUIENNE,20
IRL,IRLANDAISE,20
ISL,ISLANDAISE,20
ISR,ISRAELIENNE,20
ITA,ITALIENNE,20
JAM,JAMAICAINE,20
JPN,JAPONAISE,20
JEY,JERSIAISE,20
JOR,JORDANIENNE,20
KAZ,KAZAKHE,20
KEN,KENYANNE,20
KGZ,KIRGHIZE,20
KIR,KIRIBATIENNE,20
XKO,KOSOVO,20
KWT,KOWEITI,20
LAO,LAOTIENNE,20
LSO,LOTI,20
LVA,LETTONNE,20
LBN,LIBANAISE,20
LBY,LIBYENNE,20
LIE,LIECHTENSTEINOISE,20
LTU,LITUANIENNE,20
LUX,LUXEMBOURGEOISE,20
MAC,DE MACAO,20
MKD,MACEDONIENNE,20
MDG,MALGACHE,20
MYS,MALAISIENNE,20
MWI,MALAWIENNE,20
MDV,MALDIVIENNE,20
MLT,MALTAISE,20
MNP,DES ILES MARIANNES DU NORD,20
MAR,MAROCAINE,20
MHL,MARSHALLAISE,20
MTQ,MARTINIQUAISE,20
MUS,MAURICIENNE,20
MYT,MAHORAISE,20
MEX,MEXICAINE,20
FSM,MICRONESIENNE,20
MDA,MOLDAVE,20
MCO,MONEGASQUE,20
MNG,MONGOLE,20
MNE,MONTENEGRINE,20
MSR,DE MONTSERRAT,20
MOZ,MOZAMBICAINE,20
MMR,BIRMANE,20
NAM,NAMIBIENNE,20
NRU,NAURUANNE,20
NPL,NEPALAISE,20
NIC,NICARAGUAYENNE,20
NIU,NIOUEENNE,20
NFK,DE L'ILE NORFOLK,20
NOR,NORVEGIENNE,20
NCL,NEO-CALEDONIENNE,20
NZL,NEO-ZELANDAISE,20
IOT,DU TERR BRITANNIQUE OC INDIEN,20
OMN,OMANAISE,20
UGA,OUGANDAISE,20
UZB,OUZBEKE,20
PAK,PAKISTANAISE,20
PLW,PALAOSIENNE,20
PSE,PALESTINIENNE,20
PAN,PANAMEENNE,20
PNG,PAPOUASIENNE,20
PRY,PARAGUAYENNE,20
NLD,NEERLANDAISE,20
PER,PERUVIENNE,20
PHL,PHILIPPINE,20
PCN,DES ILES PITCAIRN,20
POL,POLONAISE,20
PYF,POLYNESIENNE,20
PRI,PORTORICAINE,20
PRT,PORTUGAISE,20
QAT,QATARI,20
REU,REUNIONNAISE,20
ROU,ROUMAINE,20
GBR,BRITANNIQUE,20
RUS,RUSSE,20
RWA,RWANDAISE,20
ESH,SAHRAOUI,20
BLM,DE SAINT-BARTHELEMY,20
KNA,DE SAINT-KITTS-ET-NEVIS,20
SMR,SAINT-MARINAISE,20
MAF,DE SAINT-MARTIN (PARTIE FRA),20
SXM,DE SAINT-MARTIN (PARTIE NÉE),20
SPM,"SAINT-PIERRAISE, MIQUELONNAISE",20
VAT,DU VATICAN,20
VCT,SAINT-VINCENTAISE ET GRENADINE,20
SHN,"DE STE-HEL., ASC., TRI. DA CUN",20
LCA,SAINTE-LUCIENNE,20
SLB,SALOMONIENNE,20
WSM,SAMOANE,20
ASM,SAMOANE AMERICAINE,20
STP,SAO-TOMIENNE,20
SRB,SERBE,20
SYC,SEYCHELLOISE,20
SGP,SINGAPOURIENNE,20
SVK,SLOVAQUE,20
SVN,SLOVENE,20
SOM,SOMALIENNE,20
SDN,SOUDANAISE,20
SSD,SUD-SOUDANAISE,20
LKA,SRI-LANKAISE,20
SWE,SUEDOISE,20
CHE,SUISSE,20
SUR,SURINAMAISE,20
SJM,"DE SVALBARD, L'ILE JAN MAYEN",20
SWZ,SWAZI,20
SYR,SYRIENNE,20
TJK,TADJIK,20
TWN,TAIWANAISE,20
TZA,TANZANIENNE,20
TCD,TCHADIENNE,20
CZE,TCHEQUE,20
ATF,DES TERRES AUSTR. FRANÇAISES,20
THA,THAILANDAISE,20
TLS,EST-TIMORAISE,20
TKL,DE TOKELAU,20
TON,TONGIENNE,20
TTO,TRINITIENNE,20
TUN,TUNISIENNE,20
TKM,TURKMENE,20
TCA,DES ILES TURKS-ET-CAÏCOS,20
TUR,TURQUE,20
TUV,TUVALUAN,20
UKR,UKRAINIENNE,20
URY,URUGUAYENNE,20
VUT,VANUATAN,20
VEN,VENEZUELIENNE,20
VNM,VIETNAMIENNE,20
WLF,WALLISIENNE OU FUTUNIENNE,20
YEM,YEMENITE,20
ZMB,ZAMBIENNE,20
ZWE,ZIMBABWEENNE,20
