CODE,LABEL
ABENGOUROU,ABENGOUROU
ABIGUI,ABIGUI
ABOBO,ABOBO
ABOISSO,ABOISSO
ABOISSO-COMOE,ABOISSO-COMOE
ABONGOUA,ABONGOUA
ABOUDE,ABOUDE
ADAOU,ADAOU
ADIAKE,ADIAKE
ADJAME,ADJAME
ADJOUAN,ADJOUAN
ADZOPE,ADZOPE
AFFERY,AFFERY
AGBOVILLE,AGBOVILLE
AGNIBILEKROU,AGNIBILEKROU
AGOU,AGOU
AHOUANOU,AHOUANOU
AKOBOISSUE,AKOBOISSUE
AKOUPE,AKOUPE
AKPASSANOU,AKPASSANOU
ALEPE,ALEPE
ALLOSSO,ALLOSSO
AMANVI,AMANVI
AMELEKIA,AMELEKIA
ANANDA,ANANDA
ANANGUIE,ANANGUIE
ANDE,ANDE
ANDO-KEKRENOU,ANDO-KEKRENOU
ANGONDA,ANGONDA
ANIANOU,ANIANOU
ANIASSUE,ANIASSUE
ANNEPE,ANNEPE
ANOUMABA,ANOUMABA
ANYAMA,ANYAMA
APPIMANDOUM,APPIMANDOUM
ARIKOKAHA,ARIKOKAHA
ARRAH,ARRAH
ASSAHARA,ASSAHARA
ASSIE-KOUMASSI,ASSIE-KOUMASSI
ASSIKOI,ASSIKOI
ASSINIE,ASSINIE
ASSUEFRRY,ASSUEFRRY
ATTECOUBE,ATTECOUBE
ATTIEGOUAKRO,ATTIEGOUAKRO
ATTOBROU,ATTOBROU
ATTOUTOU A,ATTOUTOU A
AYAME,AYAME
AYAOU-SRAN,AYAOU-SRAN
AZAGUIE,AZAGUIE
BACANDA,BACANDA
BADIKAHA,BADIKAHA
BAGOHOUO,BAGOHOUO
BAHOUAKAHA,BAHOUAKAHA
BAKO,BAKO
BAKOUBLY,BAKOUBLY
BANDAKAGNI-TOMORA,BANDAKAGNI-TOMORA
BANGOLO,BANGOLO
BANNEU,BANNEU
BASSAWA,BASSAWA
BAYA,BAYA
BAYOTA,BAYOTA
BAZRA-NATTIS,BAZRA-NATTIS
BAZRE,BAZRE
BECEDI-BRIGNAN,BECEDI-BRIGNAN
BECOUEFIN,BECOUEFIN
BEDIALA,BEDIALA
BEDY-GOAZON,BEDY-GOAZON
BENGASOU,BENGASOU
BEOUE-ZIBIAO,BEOUE-ZIBIAO
BEOUMI,BEOUMI
BETTIE,BETTIE
BIANKOUMA,BIANKOUMA
BIANOUAN,BIANOUAN
BIEBY,BIEBY
BILIMONO,BILIMONO
BINGERVILLE,BINGERVILLE
BIN-HOUYE,BIN-HOUYE
BLAPLEU,BLAPLEU
BLENIMEOUIN,BLENIMEOUIN
BLESSEGUE,BLESSEGUE
BLOLEQUIN,BLOLEQUIN
BOAHIA,BOAHIA
BOBI ,BOBI 
BOCANDA,BOCANDA
BODOKRO,BODOKRO
BOGOFIA,BOGOFIA
BOGOUINE,BOGOUINE
BOGUEDIA,BOGUEDIA
BOLI,BOLI
BONDO,BONDO
BONDOUKOU,BONDOUKOU
BONGO,BONGO
BONGOUANOU,BONGOUANOU
BONGUERA,BONGUERA
BONIEREDOUGOU,BONIEREDOUGOU
BONIKRO,BONIKRO
BONON,BONON
BONOUA,BONOUA
BOOKO,BOOKO
BORON ,BORON 
BOROTOU,BOROTOU
BOTRO,BOTRO
BOUAFLE,BOUAFLE
BOUAKE,BOUAKE
BOUANDOUGOU,BOUANDOUGOU
BOUGOU,BOUGOU
BOUGOUSSO,BOUGOUSSO
BOUKO,BOUKO
BOUNA,BOUNA
BOUNDA,BOUNDA
BOUNDIALI,BOUNDIALI
BROBO,BROBO
BROFODOUME,BROFODOUME
BUYO,BUYO
CECHI,CECHI
CHIEPO,CHIEPO
COCODY,COCODY
DABAKALA,DABAKALA
DABOU,DABOU
DABOUYO,DABOUYO
DAHIEPA-KEHI,DAHIEPA-KEHI
DAHIRI,DAHIRI
DAIRO-DIDIZO,DAIRO-DIDIZO
DAKPADOU,DAKPADOU
DALEU,DALEU
DALOA,DALOA
DAME,DAME
DANANE,DANANE
DANANON,DANANON
DANDA,DANDA
DANGUIRA,DANGUIRA
DANIA,DANIA
DANOA,DANOA
DAOUKRO,DAOUKRO
DAPEOUA,DAPEOUA
DAPKADOU,DAPKADOU
DAPO-IBOKE,DAPO-IBOKE
DARABANA,DARABANA
DASSOUNGBOHO,DASSOUNGBOHO
DEBETE,DEBETE
DIABO,DIABO
DIAMARAKRO,DIAMARAKRO
DIAMBA,DIAMBA
DIANGOKRO,DIANGOKRO
DIANRA,DIANRA
DIANRA VILLAGE,DIANRA VILLAGE
DIARABANA,DIARABANA
DIAWALA ,DIAWALA 
DIBOKE,DIBOKE
DIBRI-ASSRIKRO,DIBRI-ASSRIKRO
DIDIEVI,DIDIEVI
DIDOKO,DIDOKO
DIEGONEFLA,DIEGONEFLA
DIEOUZON,DIEOUZON
DIGNAGO,DIGNAGO
DIKODOUGOU,DIKODOUGOU
DIMANDOUGOU,DIMANDOUGOU
DIMBOKRO,DIMBOKRO
DIOMAN,DIOMAN
DIOULATIEDOUGOU,DIOULATIEDOUGOU
DIVO,DIVO
DJAMANDIOKE,DJAMANDIOKE
DJEBONOUA,DJEBONOUA
DJEKANOU,DJEKANOU
DJIBROSSO,DJIBROSSO
DJIDJI,DJIDJI
DJOUROUTOU,DJOUROUTOU
DOBA,DOBA
DOGBO,DOGBO
DOKE,DOKE
DOMANGBEU,DOMANGBEU
DOROPO,DOROPO
DOUGROUPALEGNOA,DOUGROUPALEGNOA
DOUKOUYO,DOUKOUYO
DUALLA,DUALLA
DUEKOUE,DUEKOUE
DUFFREBO,DUFFREBO
EBILZSSOKRO,EBILZSSOKRO
EBONOU,EBONOU
ETTROKRO,ETTROKRO
ETUEBOUE,ETUEBOUE
FACOBLY,FACOBLY
FADIADOUGOU,FADIADOUGOU
FAGNAMPLEU,FAGNAMPLEU
FAMIENKRO,FAMIENKRO
FENGOLO,FENGOLO
FERKESSEDOUGOU,FERKESSEDOUGOU
FOUMBOLO,FOUMBOLO
FOUNGBESSO,FOUNGBESSO
FRESCO,FRESCO
FRONAN,FRONAN
GABIADJI,GABIADJI
GADOUAN,GADOUAN
GAGNOA,GAGNOA
GAGORE,GAGORE
GALEBRE,GALEBRE
GANAONI,GANAONI
GBAGBAM,GBAGBAM
GBANGBEGOUINE,GBANGBEGOUINE
GBANGBEGOUINE-YATI,GBANGBEGOUINE-YATI
GBAPLEU,GBAPLEU
GBEGBESSOU,GBEGBESSOU
GBELEBAN,GBELEBAN
GBELO,GBELO
GBOGUHE,GBOGUHE
GBOLOUVILLE,GBOLOUVILLE
GBON,GBON
GBONGAHA,GBONGAHA
GBON-HOUYE,GBON-HOUYE
GBONNE,GBONNE
GNAGBODOUGNOUA,GNAGBODOUGNOUA
GNAMANGUI,GNAMANGUI
GOGO,GOGO
GOHITAFLA,GOHITAFLA
GOHOUO-ZAGNA,GOHOUO-ZAGNA
GOMON,GOMON
GONATE,GONATE
GOUDOUKO,GOUDOUKO
GOUEKAN,GOUEKAN
GOUINE,GOUINE
GOULALEU,GOULALEU
GOULIA,GOULIA
GOUMERE,GOUMERE
GRABO,GRABO
GRAND LAHOU,GRAND LAHOU
GRAND-BASSAM,GRAND-BASSAM
GRAND-BEREBY,GRAND-BEREBY
GRAND-MORIE,GRAND-MORIE
GRAND-ZATTRY,GRAND-ZATTRY
GREBEU,GREBEU
GRIHIRI,GRIHIRI
GUEHIEBLY,GUEHIEBLY
GUEPAHOUO,GUEPAHOUO
GUESSABO,GUESSABO
GUESSIGUIE,GUESSIGUIE
GUEYO,GUEYO
GUEZON,GUEZON
GUIBEROUA,GUIBEROUA
GUIEMBE,GUIEMBE
GUIGLO,GUIGLO
GUINGLO-TAHOUAKE,GUINGLO-TAHOUAKE
GUINTEGUELA,GUINTEGUELA
GUITRY,GUITRY
HIRE,HIRE
IBOGUHE,IBOGUHE
ISSIA,ISSIA
JACQUEVILLE,JACQUEVILLE
KAADE,KAADE
KAGBOLODOUGOU,KAGBOLODOUGOU
KAHIN-ZARABAHON,KAHIN-ZARABAHON
KAKPIN ,KAKPIN 
KALAMON,KALAMON
KAMALO ,KAMALO 
KANAKONO,KANAKONO
KANI,KANI
KANIASSO,KANIASSO
KANOROBA,KANOROBA
KAOUARA,KAOUARA
KARAKORO ,KARAKORO 
KASSERE,KASSERE
KATIALI,KATIALI
KATIOLA,KATIOLA
KATOGO,KATOGO
KETRO-BASAM,KETRO-BASAM
KIEMOU,KIEMOU
KIMBIRILA-NORD,KIMBIRILA-NORD
KIMBIRILA-SUD,KIMBIRILA-SUD
KOFFI-AMONKRO,KOFFI-AMONKRO
KOKOMIAN,KOKOMIAN
KOKUMBO,KOKUMBO
KOLIA,KOLIA
KOMBORODOUGOU,KOMBORODOUGOU
KONDOSSOU,KONDOSSOU
KONDROBO,KONDROBO
KONG,KONG
